county,indicator,Unit,Date,Value
Nairobi,Under-five mortality rate,,1989,81
Nairobi,Under-five mortality rate,,1993,82
Nairobi,Under-five mortality rate,,1998,66
Nairobi,Under-five mortality rate,,2003,95
Nairobi,Under-five mortality rate,,2008,64
Nairobi,Under-five mortality rate,,2014,72
Nairobi,Under-five mortality rate,,2022,44
Nairobi,Child mortality rate,,1989,36
Nairobi,Child mortality rate,,1993,39
Nairobi,Child mortality rate,,1998,26
Nairobi,Child mortality rate,,2003,30
Nairobi,Child mortality rate,,2008,4
Nairobi,Child mortality rate,,2014,17
Nairobi,Child mortality rate,,2022,4
Nairobi,Infant mortality rate,,1989,46
Nairobi,Infant mortality rate,,1993,44
Nairobi,Infant mortality rate,,1998,41
Nairobi,Infant mortality rate,,2003,67
Nairobi,Infant mortality rate,,2008,60
Nairobi,Infant mortality rate,,2014,55
Nairobi,Infant mortality rate,,2022,40
Nairobi,Postneonatal mortality rate,,1989,26
Nairobi,Postneonatal mortality rate,,1993,11
Nairobi,Postneonatal mortality rate,,1998,22
Nairobi,Postneonatal mortality rate,,2003,35
Nairobi,Postneonatal mortality rate,,2008,12
Nairobi,Postneonatal mortality rate,,2014,16
Nairobi,Postneonatal mortality rate,,2022,20
Nairobi,Neonatal mortality rate,,1989,20
Nairobi,Neonatal mortality rate,,1993,34
Nairobi,Neonatal mortality rate,,1998,19
Nairobi,Neonatal mortality rate,,2003,32
Nairobi,Neonatal mortality rate,,2008,48
Nairobi,Neonatal mortality rate,,2014,39
Nairobi,Neonatal mortality rate,,2022,20
Central,Under-five mortality rate,,1989,46
Central,Under-five mortality rate,,1993,41
Central,Under-five mortality rate,,1998,33
Central,Under-five mortality rate,,2003,54
Central,Under-five mortality rate,,2008,51
Central,Under-five mortality rate,,2014,42
Central,Under-five mortality rate,,2022,45
Central,Child mortality rate,,1989,10
Central,Child mortality rate,,1993,11
Central,Child mortality rate,,1998,6
Central,Child mortality rate,,2003,10
Central,Child mortality rate,,2008,10
Central,Child mortality rate,,2014,4
Central,Child mortality rate,,2022,5
Central,Infant mortality rate,,1989,37
Central,Infant mortality rate,,1993,31
Central,Infant mortality rate,,1998,27
Central,Infant mortality rate,,2003,44
Central,Infant mortality rate,,2008,42
Central,Infant mortality rate,,2014,38
Central,Infant mortality rate,,2022,40
Central,Postneonatal mortality rate,,1989,19
Central,Postneonatal mortality rate,,1993,14
Central,Postneonatal mortality rate,,1998,10
Central,Postneonatal mortality rate,,2003,17
Central,Postneonatal mortality rate,,2008,11
Central,Postneonatal mortality rate,,2014,14
Central,Postneonatal mortality rate,,2022,11
Central,Neonatal mortality rate,,1989,18
Central,Neonatal mortality rate,,1993,17
Central,Neonatal mortality rate,,1998,18
Central,Neonatal mortality rate,,2003,27
Central,Neonatal mortality rate,,2008,31
Central,Neonatal mortality rate,,2014,24
Central,Neonatal mortality rate,,2022,29
Kiambu,Under-five mortality rate,,2014,38
Kiambu,Under-five mortality rate,,2022,40
Kiambu,Child mortality rate,,2014,2
Kiambu,Child mortality rate,,2022,5
Kiambu,Infant mortality rate,,2014,36
Kiambu,Infant mortality rate,,2022,35
Kiambu,Postneonatal mortality rate,,2014,12
Kiambu,Postneonatal mortality rate,,2022,7
Kiambu,Neonatal mortality rate,,2014,24
Kiambu,Neonatal mortality rate,,2022,28
Kirinyaga,Under-five mortality rate,,2014,39
Kirinyaga,Under-five mortality rate,,2022,56
Kirinyaga,Child mortality rate,,2014,8
Kirinyaga,Child mortality rate,,2022,2
Kirinyaga,Infant mortality rate,,2014,32
Kirinyaga,Infant mortality rate,,2022,55
Kirinyaga,Postneonatal mortality rate,,2014,9
Kirinyaga,Postneonatal mortality rate,,2022,17
Kirinyaga,Neonatal mortality rate,,2014,23
Kirinyaga,Neonatal mortality rate,,2022,37
Murang'a,Under-five mortality rate,,2014,45
Murang'a,Under-five mortality rate,,2022,47
Murang'a,Child mortality rate,,2014,7
Murang'a,Child mortality rate,,2022,5
Murang'a,Infant mortality rate,,2014,38
Murang'a,Infant mortality rate,,2022,43
Murang'a,Postneonatal mortality rate,,2014,13
Murang'a,Postneonatal mortality rate,,2022,7
Murang'a,Neonatal mortality rate,,2014,26
Murang'a,Neonatal mortality rate,,2022,36
Nyeri,Under-five mortality rate,,2014,36
Nyeri,Under-five mortality rate,,2022,52
Nyeri,Child mortality rate,,2014,3
Nyeri,Child mortality rate,,2022,5
Nyeri,Infant mortality rate,,2014,33
Nyeri,Infant mortality rate,,2022,48
Nyeri,Postneonatal mortality rate,,2014,18
Nyeri,Postneonatal mortality rate,,2022,21
Nyeri,Neonatal mortality rate,,2014,15
Nyeri,Neonatal mortality rate,,2022,27
Nyandarua,Under-five mortality rate,,2014,58
Nyandarua,Under-five mortality rate,,2022,45
Nyandarua,Child mortality rate,,2014,4
Nyandarua,Child mortality rate,,2022,10
Nyandarua,Infant mortality rate,,2014,54
Nyandarua,Infant mortality rate,,2022,36
Nyandarua,Postneonatal mortality rate,,2014,19
